0.0,  0.0,  3.0,  5.0,  10.0,  5.0,  3.0,  0.0,  0.0
10.0,  16.0,  18.0,  20.0,  50.0,  20.0,  18.0,  16.0,  10.0
7.0,  13.0,  20.0,  30.0,  40.0,  30.0,  20.0,  13.0,  7.0
5.5,  10.5,  15.0,  20.0,  25.0,  20.0,  15.5,  10.5,  5.5
3.0,  7.0,  10.0,  14.0,  18.0,  14.0,  10.0,  7.0,  3.0
1.5,  0.0, 4.0,  0.0,  4.0, 0.0, 4.0,  0.0,  1.5
0.5,  0.0,  1.0,  0.0,  1.0,  0.0,  1.0,  0.0,  1.0
0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0
0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0
0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0
