7.0,  10.0,  9.0,  12.0,  15.0,  12.0,  9.0,  10.0,  7.0
9.0,  12.0,  9.0,  15.0,  17.0,  15.0,  9.0,  12.0,  9.0
6.0,  8.0,  9.0,  12.0,  17.0,  12.0,  9.0,  8.0,  6.0
6.0,  10.0,  9.0,  14.0,  19.0,  14.0,  9.0,  10.0,  6.0
6.0,  10.0,  9.0,  12.0,  17.0,  12.0,  9.0,  10.0,  6.0
6.0,  10.0,  7.0,  10.0,  15.0,  10.0,  7.0,  10.0,  6.0
5.0,  10.0,  8.0,  8.0,  14.0,  8.0,  8.0,  10.0,  5.0
4.0,  8.0,  6.0,  10.0,  12.0,  10.0,  6.0,  8.0,  4.0
2.0,  4.0,  6.0,  8.0,  8.0,  8.0,  6.0,  4.0,  2.0
1.0,  10.0,  6.0,  14.0,  10.0,  14.0,  6.0,  10.0,  1.0
